Team,Avg_Pts,Win Group,R32,Quarters,Semis,Final,Champion
España,7.4,82.7%,99.0%,90.3%,44.0%,29.7%,20.7%
Argentina,7.1,81.3%,99.3%,94.7%,53.0%,32.0%,19.7%
Francia,6.9,75.0%,97.7%,89.0%,59.3%,23.7%,15.3%
Inglaterra,6.4,62.7%,98.0%,77.7%,49.7%,28.3%,12.0%
Portugal,6.0,52.3%,97.7%,76.0%,46.7%,26.3%,9.0%
Brasil,6.4,64.7%,98.3%,74.7%,31.7%,12.7%,7.3%
Colombia,5.6,36.0%,92.3%,70.0%,33.7%,18.3%,6.3%
Países Bajos,5.6,55.3%,94.3%,67.7%,34.3%,17.7%,5.0%
Alemania,6.3,62.0%,98.7%,70.0%,11.0%,4.7%,3.0%
Canadá,4.8,37.3%,91.3%,30.7%,4.3%,1.3%,0.7%
Paraguay,3.5,16.0%,69.7%,17.0%,4.0%,1.0%,0.3%
Nueva Zelanda,2.1,3.3%,14.3%,2.0%,1.3%,0.3%,0.3%
Austria,3.3,3.3%,79.7%,21.0%,4.7%,1.0%,0.3%
Bélgica,5.3,47.0%,95.7%,51.0%,0.0%,0.0%,0.0%
Kosovo,0.4,0.0%,2.7%,0.0%,0.0%,0.0%,0.0%
Ecuador,5.4,26.7%,90.7%,41.0%,0.0%,0.0%,0.0%
Ghana,1.6,2.3%,6.7%,0.0%,0.0%,0.0%,0.0%
Curaçao,1.3,1.3%,9.7%,0.0%,0.0%,0.0%,0.0%
Túnez,2.7,4.7%,43.7%,6.7%,1.0%,0.0%,0.0%
Suecia,0.4,0.7%,4.3%,0.0%,0.0%,0.0%,0.0%
Panamá,2.9,5.0%,38.7%,5.0%,1.0%,0.0%,0.0%
Uzbekistán,3.4,9.0%,68.3%,23.7%,4.7%,1.0%,0.0%
Estados Unidos,4.9,43.7%,90.3%,43.7%,0.0%,0.0%,0.0%
Arabia Saudita,2.4,1.7%,26.3%,2.0%,0.3%,0.0%,0.0%
Jamaica,0.5,1.0%,4.3%,0.3%,0.0%,0.0%,0.0%
DR Congo,0.9,1.7%,6.0%,0.7%,0.0%,0.0%,0.0%
Eslovaquia,0.3,1.3%,2.3%,0.0%,0.0%,0.0%,0.0%
Costa de Marfil,3.7,10.0%,69.0%,8.7%,1.7%,0.7%,0.0%
Croacia,5.8,30.0%,96.7%,59.0%,0.0%,0.0%,0.0%
Irak,1.6,1.3%,20.3%,2.3%,0.3%,0.0%,0.0%
