short_name,Team,overall,age_2026,Expected_Games,Expected_Clean_Sheets
H. Lloris,Francia,87,38,5.696666666666666,1.73
E. Martínez,Argentina,84,32,5.79,1.7
De Gea,España,84,34,5.630000000000001,1.66
Ederson,Brasil,89,31,5.173333333333334,1.61
N. Pope,Inglaterra,83,33,5.536666666666667,1.61
A. Lopes,Portugal,82,34,5.466666666666667,1.57
M. ter Stegen,Alemania,90,33,4.843333333333334,1.53
J. Cillessen,Países Bajos,81,36,5.140000000000001,1.46
D. Ospina,Colombia,79,36,5.1433333333333335,1.42
T. Courtois,Bélgica,89,33,4.466666666666667,1.39
D. Livaković,Croacia,82,30,4.556666666666667,1.31
Y. Bounou,Marruecos,82,34,4.573333333333333,1.31
É. Mendy,Senegal,83,33,4.43,1.29
G. Donnarumma,Italia,89,26,4.153333333333333,1.29
Y. Sommer,Suiza,85,36,4.13,1.23
G. Ochoa,México,80,39,4.3133333333333335,1.21
F. Muslera,Uruguay,80,39,4.333333333333333,1.21
E. Kawashima,Japón,73,42,4.516666666666667,1.15
A. Oukidja,Argelia,78,36,4.1866666666666665,1.14
M. Borjan,Canadá,76,37,4.276666666666666,1.14
