tournament_id,team_name,team_code,yellow_cards,red_cards,second_yellow_cards,sendings_off,bookings,tournament_name,year,host_country,total_cards
WC-1970,Soviet Union,SUN,8,0,0,0,8,1970 FIFA Men's World Cup,1970,Mexico,8
WC-1970,Italy,ITA,7,0,0,0,7,1970 FIFA Men's World Cup,1970,Mexico,7
WC-1970,Uruguay,URY,7,0,0,0,7,1970 FIFA Men's World Cup,1970,Mexico,7
WC-1970,El Salvador,SLV,4,0,0,0,4,1970 FIFA Men's World Cup,1970,Mexico,4
WC-1970,Israel,ISR,4,0,0,0,4,1970 FIFA Men's World Cup,1970,Mexico,4
WC-1970,West Germany,DEU,4,0,0,0,4,1970 FIFA Men's World Cup,1970,Mexico,4
WC-1970,Belgium,BEL,3,0,0,0,3,1970 FIFA Men's World Cup,1970,Mexico,3
WC-1970,Brazil,BRA,3,0,0,0,3,1970 FIFA Men's World Cup,1970,Mexico,3
WC-1970,Mexico,MEX,3,0,0,0,3,1970 FIFA Men's World Cup,1970,Mexico,3
WC-1970,Romania,ROU,3,0,0,0,3,1970 FIFA Men's World Cup,1970,Mexico,3
WC-1970,Czechoslovakia,CSK,2,0,0,0,2,1970 FIFA Men's World Cup,1970,Mexico,2
WC-1970,England,ENG,2,0,0,0,2,1970 FIFA Men's World Cup,1970,Mexico,2
WC-1970,Sweden,SWE,2,0,0,0,2,1970 FIFA Men's World Cup,1970,Mexico,2
WC-1974,Brazil,BRA,11,1,0,1,11,1974 FIFA Men's World Cup,1974,West Germany,12
WC-1974,Netherlands,NLD,11,0,0,0,11,1974 FIFA Men's World Cup,1974,West Germany,11
WC-1974,East Germany,DDR,10,0,0,0,10,1974 FIFA Men's World Cup,1974,West Germany,10
WC-1974,Yugoslavia,YUG,10,0,0,0,10,1974 FIFA Men's World Cup,1974,West Germany,10
WC-1974,Argentina,ARG,8,0,0,0,8,1974 FIFA Men's World Cup,1974,West Germany,8
WC-1974,Chile,CHL,5,1,0,1,5,1974 FIFA Men's World Cup,1974,West Germany,6
WC-1974,Uruguay,URY,5,1,0,1,6,1974 FIFA Men's World Cup,1974,West Germany,6
WC-1974,Poland,POL,5,0,0,0,5,1974 FIFA Men's World Cup,1974,West Germany,5
WC-1974,Sweden,SWE,5,0,0,0,5,1974 FIFA Men's World Cup,1974,West Germany,5
WC-1974,Bulgaria,BGR,3,0,0,0,3,1974 FIFA Men's World Cup,1974,West Germany,3
WC-1974,Haiti,HTI,3,0,0,0,3,1974 FIFA Men's World Cup,1974,West Germany,3
WC-1974,Scotland,SCO,3,0,0,0,3,1974 FIFA Men's World Cup,1974,West Germany,3
WC-1974,West Germany,DEU,3,0,0,0,3,1974 FIFA Men's World Cup,1974,West Germany,3
WC-1974,Zaire,COD,2,1,0,1,3,1974 FIFA Men's World Cup,1974,West Germany,3
WC-1974,Australia,AUS,1,1,0,1,1,1974 FIFA Men's World Cup,1974,West Germany,2
WC-1974,Italy,ITA,2,0,0,0,2,1974 FIFA Men's World Cup,1974,West Germany,2
WC-1978,Netherlands,NLD,8,1,0,1,8,1978 FIFA Men's World Cup,1978,Argentina,9
WC-1978,Hungary,HUN,4,2,0,2,6,1978 FIFA Men's World Cup,1978,Argentina,6
WC-1978,Italy,ITA,6,0,0,0,6,1978 FIFA Men's World Cup,1978,Argentina,6
WC-1978,Argentina,ARG,4,0,0,0,4,1978 FIFA Men's World Cup,1978,Argentina,4
WC-1978,West Germany,DEU,4,0,0,0,4,1978 FIFA Men's World Cup,1978,Argentina,4
WC-1978,Brazil,BRA,3,0,0,0,3,1978 FIFA Men's World Cup,1978,Argentina,3
WC-1978,France,FRA,3,0,0,0,3,1978 FIFA Men's World Cup,1978,Argentina,3
WC-1978,Peru,PER,3,0,0,0,3,1978 FIFA Men's World Cup,1978,Argentina,3
WC-1978,Poland,POL,3,0,0,0,3,1978 FIFA Men's World Cup,1978,Argentina,3
WC-1978,Austria,AUT,2,0,0,0,2,1978 FIFA Men's World Cup,1978,Argentina,2
WC-1978,Sweden,SWE,2,0,0,0,2,1978 FIFA Men's World Cup,1978,Argentina,2
WC-1978,Mexico,MEX,1,0,0,0,1,1978 FIFA Men's World Cup,1978,Argentina,1
